msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1689283354.1181314,aced3d22-ec35-4c8d-bd52-775e59763959,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.2296956,8922f257-baba-49c4-9a3c-c07dd3abc35f,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.3361156,aee9666d-df02-42b1-9c8a-5174b6fd45a8,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.4420424,c8912af4-4a78-4c04-906d-9e720ef16ee4,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.5486712,02b92f14-a954-4692-9fb9-b4f8bfb81bd8,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.6588402,1197c2bd-3aa3-4224-b163-a318ffda7dd4,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.7657254,6a2a6dea-d2e5-4f6c-a331-dac64175d30c,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.8720932,53dbe28e-a224-4564-96d2-bb3d4de0eef7,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.9794238,8d42f790-7b70-485b-a482-9a411f38fe75,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.0910592,9d9ca479-80a9-4a1c-99c2-eedc36988ace,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.197516,ffa2f30d-f38b-4423-838b-33cc837a25ff,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.3039198,dfd7996b-7524-4a43-af59-b7400b0cbf71,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.4096353,0e23ca74-e711-42a0-b752-10126f6f5300,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.515923,8b30b745-947c-42bd-aebe-09dc323d0695,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.626406,23f0e581-f8b3-42a0-8002-ea12eaa9f6ec,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.732801,4a9bb7dd-e540-4a06-afff-46bcc5668d88,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.8378413,dc9b6339-16a7-4f7b-ae11-48d13a6ddee1,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283355.9441757,da538923-3381-4750-9509-ca643fac4d45,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.0468156,407c3869-e892-4904-8782-ff91384b2530,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283356.1576529,e42d1752-bafa-4c9e-9341-da2457d78ec0,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.2640357,35169a9b-7229-4d7b-8c5f-3c746c9cd601,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.369712,7e6af436-0ffe-44ae-b74f-c3df93bb076b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.4763603,10cf8a5c-a76d-45a2-a3fb-94c64954553d,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.5764995,4c2aafb6-88c3-43c5-a2e3-ae82a6908e3f,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283356.682024,0a2d9598-8696-41b5-8b93-d50309f3dd54,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.7887082,966e4bb4-6349-443c-899f-4216f2fa0cfb,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283356.8991833,ae060c33-b5cb-48c5-af35-f45e10d0e99d,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.0096958,b2b17484-0435-4874-a637-ab8a869f5cd9,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.116135,6da58cc1-bae6-4f5f-871d-06284b419d28,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.2220476,0946bd10-9dfd-438a-8391-f2c1a8daf079,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.3272922,515bc13c-0cb0-4c9a-b14b-c863512c5456,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283357.4339862,4617786e-4198-4c09-a395-182a145fc929,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.5402336,c0ccef82-7f02-42c2-a8cf-6009d54df900,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.6465733,e8351a87-9ad2-4284-af87-a8c5f98807e3,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283357.753935,524183d4-9b83-4133-9a96-dbe7850058e0,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
